product_sku;attribute_name;attribute_value
79394423;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394423;type_maroquinerie;Coque de protection
79394423;materiau_maroquinerie_0;Polycarbonate, Polyuréthane
79394424;hauteur_produi;19 cm
79394424;largeur_produit;11 cm
79394424;note_environnementale;C
79394424;poids_produit;50 g
79394424;profondeur_produit;2 cm
79394424;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/seventees.html
79394424;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394424;type_maroquinerie;Coque de protection
79394424;materiau_maroquinerie_0;Caoutchouc
79394425;hauteur_produi;19 cm
79394425;largeur_produit;11 cm
79394425;note_environnementale;C
79394425;poids_produit;50 g
79394425;profondeur_produit;2 cm
79394425;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/seventees.html
79394425;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394425;type_maroquinerie;Coque de protection
79394425;materiau_maroquinerie_0;Caoutchouc
79394426;hauteur_produi;19 cm
79394426;largeur_produit;11 cm
79394426;note_environnementale;C
79394426;poids_produit;50 g
79394426;profondeur_produit;2 cm
79394426;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/seventees.html
79394426;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394426;type_maroquinerie;Coque de protection
79394426;materiau_maroquinerie_0;Caoutchouc
79394427;hauteur_produi;19 cm
79394427;largeur_produit;11 cm
79394427;note_environnementale;C
79394427;poids_produit;50 g
79394427;profondeur_produit;2 cm
79394427;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/seventees.html
79394427;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394427;type_maroquinerie;Coque de protection
79394427;materiau_maroquinerie_0;Caoutchouc
79394428;hauteur_produi;19 cm
79394428;largeur_produit;11 cm
79394428;note_environnementale;C
79394428;poids_produit;50 g
79394428;profondeur_produit;2 cm
79394428;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/seventees.html
79394428;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394428;type_maroquinerie;Coque de protection
79394428;materiau_maroquinerie_0;Caoutchouc
79394432;note_environnementale;C
79394432;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/wiko.html
79394432;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394432;type_maroquinerie;Coque de protection
79148743;note_environnementale;D
79148743;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/samsung.html
79148743;categorie_accessoire_0;Consommables d'impression
79148743;compatibilite_materiel_informatique_0;PC
79148743;consommables_inclus_0;Pack de 1
