sku;product_name;created_at;updated_at;status;tax_class_id;brand;barcode;product_type;product_typology;product_condition;authorized_shop_sale;product_sales;rating_summary;total_reviews
79393342;MUVIT MUDCC0077 - adaptateur d'alimentation pour voiture;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;370000000000000000;StockÃ©;standard;;;2.0;;0.0
2311;Brother MK231BZ - Ruban d'Ã©tiquettes auto-adhÃ©sives - 1 rouleau (12 mm x 8 m) - fond blanc Ã©criture noire;2025-05-25 23:55:00;2025-05-29 09:59:00;Enabled;Classe de taxe produit 20%;Brother;400000000000;StockÃ©;standard;Produit Neuf;True;20000.0;4 Ã©toiles;3.0
23125;GBC - 30 pochettes de plastification - 175 microns - A4 - 13 x18 cm - 10 x15 cm;2025-05-25 13:21:00;2025-05-28 23:45:00;Enabled;Classe de taxe produit 20%;GBC;400000000000;StockÃ©;standard;;;2.0;;0.0
79395948;Bagtrotter Transformers - cartable;2025-05-24 21:09:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Bagtrotter;489000000000000000;StockÃ©;standard;;;2.0;;0.0
79395949;Cars Disney - Cartable - 38 x 14 x 33;2025-05-24 21:09:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Bagtrotter;489000000000000000;StockÃ©;standard;;;2.0;;0.0
79395950;Monster High - sac Ã  dos;2025-05-25 15:13:00;2025-05-29 00:11:00;Enabled;Classe de taxe produit 20%;Monster High;489000000000000000;StockÃ©;standard;;;2.0;;0.0
79395951;Bagtrotter Violetta - cartable;2025-05-25 15:13:00;2025-05-29 00:11:00;Enabled;Classe de taxe produit 20%;Bagtrotter;489000000000000000;StockÃ©;standard;;;2.0;;0.0
79391203;HP 05X - Pack de 2 - noir - cartouche laser d'origine;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;HP;88500000000000000;StockÃ©;cartridge;Produit Neuf;;2.0;;0.0
79396860;MUVIT adaptateur allume-cigare (voiture);2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;84300000000000000;StockÃ©;standard;;;2.0;;0.0
79396861;MUVIT MUDCC0097 - adaptateur d'alimentation pour voiture;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;84300000000000000;StockÃ©;standard;;;2.0;;0.0
79396862;Muvit systÃ¨me de support - bÃ¢ton Ã  selfie;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;84300000000000000;StockÃ©;standard;;;2.0;;0.0
79395961;Bagtrotter Transformers - cartable;2025-05-25 15:13:00;2025-05-29 00:11:00;Enabled;Classe de taxe produit 20%;Bagtrotter;489000000000000000;StockÃ©;standard;;;2.0;;0.0
79146586;Lexmark 08A0478 - noir - toner d'origine - cartouche laser;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Lexmark;73500000000000000;StockÃ©;cartridge;;;2.0;;0.0
79394549;MUVIT Power Bank banque d'alimentation;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;84300000000000000;StockÃ©;standard;;;2.0;;0.0
79396869;MUVIT MUACC0129 - adaptateur secteur;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;872000000000000000;StockÃ©;standard;;;2.0;;0.0
79396870;MUVIT MUACC0131 - adaptateur secteur;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;872000000000000000;StockÃ©;standard;;;2.0;;0.0
79396871;Samsung Book Cover EF-BT700B - protection Ã  rabat pour tablette;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Samsung;881000000000000000;StockÃ©;standard;;;2.0;;0.0
79396875;Urban Factory sacoche de transport pour projecteur;2025-05-26 01:42:00;2025-05-29 09:59:00;Enabled;Classe de taxe produit 20%;Urban Factory;201000000000000000;StockÃ©;standard;;;2.0;;0.0
79394632;Exacompta Lovelies - Trousse - Ronde;2025-05-26 18:57:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;Exacompta;366000000000000000;StockÃ©;standard;;;2.0;;0.0
79394633;Exacompta SUZIE Q - trousse;2025-05-26 18:57:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;Exacompta;366000000000000000;StockÃ©;standard;;;2.0;;0.0
79394667;Quo Vadis La Marelle Retro Pop - Trousse - Plate;2025-05-26 00:25:00;2025-05-29 09:59:00;Enabled;Classe de taxe produit 20%;Quo Vadis;337000000000000000;StockÃ©;standard;;;2.0;;0.0
79151234;Fellowes SafeCut - 3 bande de coupes pour rogneuse electron / proton A4;2025-05-25 14:54:00;2025-05-29 00:11:00;Enabled;Classe de taxe produit 20%;Fellowes;43859554805;StockÃ©;standard;Produit Neuf;True;15.0;2 Ã©toiles;3.0
79151235;Fellowes SafeCut - 3 bande de coupes pour rogneuse electron / proton A3;2025-05-25 14:54:00;2025-05-29 00:11:00;Enabled;Classe de taxe produit 20%;Fellowes;43859556342;StockÃ©;standard;Produit Neuf;True;2.0;;0.0
79425375;Clairefontaine - Papier cadeau kraft - 70 cm x 50 m - dÃ©corations de NoÃ«l;2025-05-25 11:35:00;2025-05-28 23:12:00;Enabled;Classe de taxe produit 20%;Clairefontaine;333000000000000000;StockÃ©;standard;Produit Neuf;True;2.0;;0.0
